国,感染者,死亡者,日付
セルビア,11381,242,2020-05-31
スロバキア,1521,28,2020-05-31
バチカン,12,0,2020-05-31
コロンビア,26734,822,2020-05-31
ペルー,155671,4371,2020-05-31
コスタリカ,1047,10,2020-05-31
マルタ,618,7,2020-05-31
パラグアイ,964,11,2020-05-31
バングラデシュ,44608,610,2020-05-31
モルドバ,8098,289,2020-05-31
ブルガリア,2499,139,2020-05-31
モルディブ,1672,5,2020-05-31
ブルネイ,141,2,2020-05-31
キプロス,944,17,2020-05-31
アルバニア,1122,33,2020-05-31
ブルキナファソ,847,53,2020-05-31
モンゴル,179,0,2020-05-31
パナマ,13018,320,2020-05-31
ボリビア,8731,293,2020-05-31
ホンジュラス,4886,196,2020-05-31
コンゴ民主共和国,2966,68,2020-05-31
ジャマイカ,575,9,2020-05-31
トルコ,163103,4515,2020-05-31
コートジボワール,2799,32,2020-05-31
ガイアナ,152,11,2020-05-31
ガーンジー（英領）,252,13,2020-05-31
ジャージー（英領）,308,29,2020-05-31
ケイマン諸島（英領）,140,1,2020-05-31
キューバ,2025,82,2020-05-31
トリニダード・トバゴ,117,8,2020-05-31
スーダン,4800,233,2020-05-31
ギニア,3706,22,2020-05-31
エチオピア,1063,8,2020-05-31
ケニア,1888,62,2020-05-31
グアテマラ,4739,80,2020-05-31
ベネズエラ,1459,11,2020-05-31
ガボン,2655,15,2020-05-31
ガーナ,7768,34,2020-05-31
アンティグア・バーブーダ,25,3,2020-05-31
カザフスタン,10382,37,2020-05-31
ウルグアイ,821,22,2020-05-31
アルバ,101,3,2020-05-31
ナミビア,23,0,2020-05-31
セーシェル,11,0,2020-05-31
セントルシア,18,0,2020-05-31
ルワンダ,359,0,2020-05-31
エスワティニ,283,2,2020-05-31
キュラソー,20,1,2020-05-31
スリナム,14,1,2020-05-31
モーリタニア,483,20,2020-05-31
コソボ,1064,30,2020-05-31
コンゴ共和国,571,19,2020-05-31
セントビンセント及びクレナディーン諸島,26,0,2020-05-31
中央アフリカ,962,1,2020-05-31
ウズベキスタン,3546,14,2020-05-31
赤道ギニア,1306,12,2020-05-31
リベリア,280,27,2020-05-31
タンザニア,509,21,2020-05-31
ソマリア,1916,72,2020-05-31
ベナン,224,3,2020-05-31
バハマ,102,11,2020-05-31
モンテネグロ,324,9,2020-05-31
バルバドス,92,7,2020-05-31
キルギス,1722,16,2020-05-31
ザンビア,1057,7,2020-05-31
ジブチ,3194,20,2020-05-31
ガンビア,25,1,2020-05-31
モーリシャス,335,10,2020-05-31
フィジー,18,0,2020-05-31
エルサルバドル,2395,42,2020-05-31
チャド,759,65,2020-05-31
ニカラグア,759,35,2020-05-31
モントセラト（英領）,11,1,2020-05-31
マダガスカル,758,5,2020-05-31
ハイチ,1865,35,2020-05-31
アンゴラ,84,4,2020-05-31
ニジェール,956,64,2020-05-31
パプアニューギニア,8,0,2020-05-31
ジンバブエ,174,4,2020-05-31
カーボベルデ,421,4,2020-05-31
エリトリア,39,0,2020-05-31
東ティモール,24,0,2020-05-31
マン島（英王室属領）,336,24,2020-05-31
ウガンダ,413,0,2020-05-31
ニューカレドニア,19,0,2020-05-31
シリア,122,4,2020-05-31
モザンビーク,244,2,2020-05-31
グレナダ,23,0,2020-05-31
ベリーズ,18,2,2020-05-31
バミューダ（英領）,140,9,2020-05-31
ミャンマー,224,6,2020-05-31
ドミニカ国,16,0,2020-05-31
ラオス,19,0,2020-05-31
タークス・カイコス諸島（英領）,12,1,2020-05-31
ギニアビサウ,1256,8,2020-05-31
マリ,1250,73,2020-05-31
セントクリストファー・ネービス,15,0,2020-05-31
リビア,130,5,2020-05-31
アンギラ（英領）,3,0,2020-05-31
バージン諸島（英領）,8,1,2020-05-31
シエラレオネ,852,45,2020-05-31
ブルンジ,63,1,2020-05-31
ボツワナ,35,1,2020-05-31
マラウイ,279,4,2020-05-31
ボネール、シント・ユースタティウス及びサバ,7,0,2020-05-31
フォークランド諸島（英領）,13,0,2020-05-31
西サハラ,9,1,2020-05-31
南スーダン共和国,994,10,2020-05-31
サントメ・プリンシペ,479,10,2020-05-31
イエメン共和国,310,66,2020-05-31
タジキスタン共和国,3807,47,2020-05-31
コモロ連合,106,2,2020-05-31
レソト王国,2,0,2020-05-31
ダイヤモンド・プリンセス,712,13,2020-05-31
その他,29,0,2020-05-31
中国,83017,4634,2020-06-01
香港,1085,4,2020-06-01
マカオ,45,0,2020-06-01
日本,16884,892,2020-06-01
韓国,11503,271,2020-06-01
台湾,442,7,2020-06-01
シンガポール,34884,23,2020-06-01
ネパール,1572,6,2020-06-01
タイ,3081,57,2020-06-01
ベトナム,328,0,2020-06-01
マレーシア,7819,115,2020-06-01
豪州,7202,103,2020-06-01
米国,1789364,104358,2020-06-01
カナダ,90936,7295,2020-06-01
フランス,151753,28802,2020-06-01
ドイツ,183410,8540,2020-06-01
カンボジア,125,0,2020-06-01
スリランカ,1633,10,2020-06-01
アラブ首長国連邦,34557,262,2020-06-01
フィンランド,6859,316,2020-06-01
フィリピン,18086,957,2020-06-01
インド,182143,5164,2020-06-01
イタリア,232997,33415,2020-06-01
英国,274762,38489,2020-06-01
ロシア,405307,4687,2020-06-01
スウェーデン,37542,4395,2020-06-01
スペイン,239479,27127,2020-06-01
ベルギー,58381,9467,2020-06-01
エジプト,24985,913,2020-06-01
イラン,151466,7797,2020-06-01
イスラエル,17071,284,2020-06-01
レバノン,1220,26,2020-06-01
クウェート,27043,205,2020-06-01
バーレーン,11398,17,2020-06-01
オマーン,11437,42,2020-06-01
アフガニスタン,15205,250,2020-06-01
イラク,6439,195,2020-06-01
アルジェリア,9394,646,2020-06-01
オーストリア,16731,668,2020-06-01
スイス,30780,1656,2020-06-01
クロアチア,2246,103,2020-06-01
ブラジル,514849,29314,2020-06-01
ジョージア,783,12,2020-06-01
パキスタン,69496,1483,2020-06-01
北マケドニア,2226,131,2020-06-01
ギリシア,2917,175,2020-06-01
ノルウェー,8440,236,2020-06-01
ルーマニア,19257,1253,2020-06-01
デンマーク,11869,574,2020-06-01
エストニア,1869,67,2020-06-01
オランダ,46257,5951,2020-06-01
サンマリノ,671,42,2020-06-01
リトアニア,1675,70,2020-06-01
ナイジェリア,10162,273,2020-06-01
アイスランド,1806,10,2020-06-01
アゼルバイジャン,5494,61,2020-06-01
ベラルーシ,42556,229,2020-06-01
ニュージーランド,1504,22,2020-06-01
メキシコ,90664,9930,2020-06-01
カタール,56910,38,2020-06-01
ルクセンブルク,4018,110,2020-06-01
モナコ,99,1,2020-06-01
エクアドル,39098,3358,2020-06-01
アイルランド,24990,1651,2020-06-01
チェコ,9268,319,2020-06-01
アルメニア,9282,131,2020-06-01
ドミニカ共和国,17285,498,2020-06-01
インドネシア,26473,1573,2020-06-01
アンドラ,764,51,2020-06-01
ポルトガル,32500,1396,2020-06-01
ラトビア,1066,24,2020-06-01
セネガル,3645,42,2020-06-01
サウジアラビア,85261,503,2020-06-01
ヨルダン,739,9,2020-06-01
アルゼンチン,16851,510,2020-06-01
チリ,99688,1054,2020-06-01
ウクライナ,23672,708,2020-06-01
モロッコ,7807,204,2020-06-01
チュニジア,1077,48,2020-06-01
ハンガリー,3876,524,2020-06-01
リヒテンシュタイン,82,1,2020-06-01
ポーランド,23786,1061,2020-06-01
スロベニア,1473,108,2020-06-01
パレスチナ,448,5,2020-06-01
ボスニア・ヘルツェゴビナ,2510,152,2020-06-01
南アフリカ,32683,643,2020-06-01
ジブラルタル（英領）,161,0,2020-06-01
ブータン,43,0,2020-06-01
カメルーン,5904,185,2020-06-01
トーゴ,442,13,2020-06-01
セルビア,11412,242,2020-06-01
スロバキア,1521,28,2020-06-01
バチカン,12,0,2020-06-01
コロンビア,27219,853,2020-06-01
ペルー,164476,4506,2020-06-01
コスタリカ,1056,10,2020-06-01
マルタ,618,7,2020-06-01
パラグアイ,986,11,2020-06-01
バングラデシュ,47153,650,2020-06-01
モルドバ,8251,294,2020-06-01
ブルガリア,2513,140,2020-06-01
モルディブ,1773,5,2020-06-01
ブルネイ,141,2,2020-06-01
キプロス,944,17,2020-06-01
アルバニア,1137,33,2020-06-01
ブルキナファソ,847,53,2020-06-01
モンゴル,179,0,2020-06-01
パナマ,13463,326,2020-06-01
ボリビア,9592,300,2020-06-01
ホンジュラス,5094,199,2020-06-01
コンゴ民主共和国,3070,68,2020-06-01
ジャマイカ,586,9,2020-06-01
トルコ,163942,4540,2020-06-01
コートジボワール,2833,33,2020-06-01
ガイアナ,153,11,2020-06-01
ガーンジー（英領）,252,13,2020-06-01
ジャージー（英領）,308,29,2020-06-01
ケイマン諸島（英領）,141,1,2020-06-01
キューバ,2045,83,2020-06-01
トリニダード・トバゴ,117,8,2020-06-01
スーダン,5026,262,2020-06-01
ギニア,3706,23,2020-06-01
エチオピア,1172,8,2020-06-01
ケニア,1962,63,2020-06-01
グアテマラ,5087,90,2020-06-01
ベネズエラ,1510,14,2020-06-01
ガボン,2655,15,2020-06-01
ガーナ,7881,35,2020-06-01
アンティグア・バーブーダ,26,3,2020-06-01
カザフスタン,10858,38,2020-06-01
ウルグアイ,823,22,2020-06-01
アルバ,101,3,2020-06-01
ナミビア,24,0,2020-06-01
セーシェル,11,0,2020-06-01
セントルシア,18,0,2020-06-01
ルワンダ,370,1,2020-06-01
エスワティニ,285,2,2020-06-01
キュラソー,20,1,2020-06-01
スリナム,23,1,2020-06-01
モーリタニア,530,21,2020-06-01
コソボ,1064,30,2020-06-01
コンゴ共和国,611,19,2020-06-01
セントビンセント及びクレナディーン諸島,26,0,2020-06-01
中央アフリカ,1011,1,2020-06-01
ウズベキスタン,3623,14,2020-06-01
赤道ギニア,1306,12,2020-06-01
リベリア,288,27,2020-06-01
タンザニア,509,21,2020-06-01
ソマリア,1976,73,2020-06-01
ベナン,232,3,2020-06-01
バハマ,102,11,2020-06-01
モンテネグロ,324,9,2020-06-01
バルバドス,92,7,2020-06-01
キルギス,1748,16,2020-06-01
ザンビア,1057,7,2020-06-01
ジブチ,3354,22,2020-06-01
ガンビア,25,1,2020-06-01
モーリシャス,335,10,2020-06-01
フィジー,18,0,2020-06-01
エルサルバドル,2517,44,2020-06-01
チャド,778,65,2020-06-01
ニカラグア,759,35,2020-06-01
モントセラト（英領）,11,1,2020-06-01
マダガスカル,771,6,2020-06-01
ハイチ,1865,35,2020-06-01
アンゴラ,86,4,2020-06-01
ニジェール,958,64,2020-06-01
パプアニューギニア,8,0,2020-06-01
ジンバブエ,178,4,2020-06-01
カーボベルデ,435,4,2020-06-01
エリトリア,39,0,2020-06-01
東ティモール,24,0,2020-06-01
マン島（英王室属領）,336,24,2020-06-01
ウガンダ,417,0,2020-06-01
ニューカレドニア,19,0,2020-06-01
シリア,122,4,2020-06-01
モザンビーク,254,2,2020-06-01
グレナダ,23,0,2020-06-01
ベリーズ,18,2,2020-06-01
バミューダ（英領）,140,9,2020-06-01
ミャンマー,224,6,2020-06-01
ドミニカ国,16,0,2020-06-01
ラオス,19,0,2020-06-01
タークス・カイコス諸島（英領）,12,1,2020-06-01
ギニアビサウ,1256,8,2020-06-01
マリ,1265,76,2020-06-01
セントクリストファー・ネービス,15,0,2020-06-01
リビア,156,5,2020-06-01
アンギラ（英領）,3,0,2020-06-01
バージン諸島（英領）,8,1,2020-06-01
シエラレオネ,861,46,2020-06-01
ブルンジ,63,1,2020-06-01
ボツワナ,35,1,2020-06-01
マラウイ,284,4,2020-06-01
ボネール、シント・ユースタティウス及びサバ,7,0,2020-06-01
フォークランド諸島（英領）,13,0,2020-06-01
西サハラ,9,1,2020-06-01
南スーダン共和国,994,10,2020-06-01
サントメ・プリンシペ,483,10,2020-06-01
イエメン共和国,323,78,2020-06-01
タジキスタン共和国,3930,47,2020-06-01
コモロ連合,106,2,2020-06-01
レソト王国,2,0,2020-06-01
ダイヤモンド・プリンセス,712,13,2020-06-01
その他,29,0,2020-06-01
中国,83022,4634,2020-06-02
香港,1088,4,2020-06-02
マカオ,45,0,2020-06-02
日本,16930,894,2020-06-02
韓国,11541,272,2020-06-02
台湾,443,7,2020-06-02
シンガポール,35292,23,2020-06-02
ネパール,1811,8,2020-06-02
タイ,3082,57,2020-06-02
ベトナム,328,0,2020-06-02
マレーシア,7857,115,2020-06-02
豪州,7221,103,2020-06-02
米国,1811370,105165,2020-06-02
カナダ,91694,7326,2020-06-02
フランス,152091,28833,2020-06-02
ドイツ,183594,8555,2020-06-02
カンボジア,125,0,2020-06-02
スリランカ,1643,10,2020-06-02
アラブ首長国連邦,35192,264,2020-06-02
フィンランド,6885,320,2020-06-02
フィリピン,18638,960,2020-06-02
インド,190535,5394,2020-06-02
イタリア,233197,33475,2020-06-02
英国,276332,39045,2020-06-02
ロシア,414328,4849,2020-06-02
スウェーデン,37814,4403,2020-06-02
スペイン,239638,27127,2020-06-02
ベルギー,58517,9486,2020-06-02
エジプト,26384,959,2020-06-02
イラン,154445,7878,2020-06-02
イスラエル,17169,285,2020-06-02
レバノン,1233,27,2020-06-02
クウェート,27762,212,2020-06-02
バーレーン,11871,19,2020-06-02
オマーン,12223,49,2020-06-02
アフガニスタン,15750,265,2020-06-02
イラク,6868,205,2020-06-02
アルジェリア,9513,653,2020-06-02
オーストリア,16733,668,2020-06-02
スイス,30789,1656,2020-06-02
クロアチア,2246,103,2020-06-02
ブラジル,526447,29937,2020-06-02
ジョージア,794,12,2020-06-02
パキスタン,72460,1543,2020-06-02
北マケドニア,2315,133,2020-06-02
ギリシア,2918,175,2020-06-02
ノルウェー,8446,236,2020-06-02
ルーマニア,19398,1262,2020-06-02
デンマーク,11899,576,2020-06-02
エストニア,1870,68,2020-06-02
オランダ,46442,5956,2020-06-02
サンマリノ,671,42,2020-06-02
リトアニア,1678,70,2020-06-02
ナイジェリア,10578,287,2020-06-02
アイスランド,1806,10,2020-06-02
アゼルバイジャン,5662,63,2020-06-02
ベラルーシ,43403,235,2020-06-02
ニュージーランド,1504,22,2020-06-02
メキシコ,93435,10167,2020-06-02
カタール,58433,40,2020-06-02
ルクセンブルク,4019,110,2020-06-02
モナコ,99,1,2020-06-02
エクアドル,39098,3358,2020-06-02
アイルランド,25062,1652,2020-06-02
チェコ,9302,320,2020-06-02
アルメニア,9492,139,2020-06-02
ドミニカ共和国,17572,502,2020-06-02
インドネシア,26940,1613,2020-06-02
アンドラ,765,51,2020-06-02
ポルトガル,32700,1410,2020-06-02
ラトビア,1066,24,2020-06-02
セネガル,3739,42,2020-06-02
サウジアラビア,87142,525,2020-06-02
ヨルダン,746,9,2020-06-02
アルゼンチン,17415,530,2020-06-02
チリ,105158,1113,2020-06-02
ウクライナ,24562,718,2020-06-02
モロッコ,7833,205,2020-06-02
チュニジア,1084,48,2020-06-02
ハンガリー,3892,526,2020-06-02
リヒテンシュタイン,82,1,2020-06-02
ポーランド,24165,1064,2020-06-02
スロベニア,1473,108,2020-06-02
パレスチナ,449,5,2020-06-02
ボスニア・ヘルツェゴビナ,2524,152,2020-06-02
南アフリカ,34357,683,2020-06-02
ジブラルタル（英領）,169,0,2020-06-02
ブータン,43,0,2020-06-02
カメルーン,6397,191,2020-06-02
トーゴ,443,13,2020-06-02
セルビア,11430,243,2020-06-02
スロバキア,1522,28,2020-06-02
バチカン,12,0,2020-06-02
コロンビア,29384,890,2020-06-02
ペルー,170039,4634,2020-06-02
コスタリカ,1084,10,2020-06-02
マルタ,619,7,2020-06-02
パラグアイ,995,11,2020-06-02
バングラデシュ,49534,672,2020-06-02
モルドバ,8360,295,2020-06-02
ブルガリア,2519,140,2020-06-02
モルディブ,1829,5,2020-06-02
ブルネイ,141,2,2020-06-02
キプロス,949,17,2020-06-02
アルバニア,1143,33,2020-06-02
ブルキナファソ,847,53,2020-06-02
モンゴル,185,0,2020-06-02
パナマ,13837,330,2020-06-02
ボリビア,9982,310,2020-06-02
ホンジュラス,5362,201,2020-06-02
コンゴ民主共和国,3195,71,2020-06-02
ジャマイカ,586,9,2020-06-02
トルコ,164769,4563,2020-06-02
コートジボワール,2951,33,2020-06-02
ガイアナ,153,12,2020-06-02
ガーンジー（英領）,252,13,2020-06-02
ジャージー（英領）,308,29,2020-06-02
ケイマン諸島（英領）,141,1,2020-06-02
キューバ,2083,83,2020-06-02
トリニダード・トバゴ,117,8,2020-06-02
スーダン,5173,286,2020-06-02
ギニア,3844,23,2020-06-02
エチオピア,1257,11,2020-06-02
ケニア,2021,64,2020-06-02
グアテマラ,5336,102,2020-06-02
ベネズエラ,1510,14,2020-06-02
ガボン,2655,17,2020-06-02
ガーナ,8070,36,2020-06-02
アンティグア・バーブーダ,26,3,2020-06-02
カザフスタン,11308,41,2020-06-02
ウルグアイ,825,22,2020-06-02
アルバ,101,3,2020-06-02
ナミビア,25,0,2020-06-02
セーシェル,11,0,2020-06-02
セントルシア,18,0,2020-06-02
ルワンダ,377,1,2020-06-02
エスワティニ,293,2,2020-06-02
キュラソー,20,1,2020-06-02
スリナム,44,1,2020-06-02
モーリタニア,588,23,2020-06-02
コソボ,1064,30,2020-06-02
コンゴ共和国,611,20,2020-06-02
セントビンセント及びクレナディーン諸島,26,0,2020-06-02
中央アフリカ,1069,2,2020-06-02
ウズベキスタン,3702,15,2020-06-02
赤道ギニア,1306,12,2020-06-02
リベリア,296,27,2020-06-02
タンザニア,509,21,2020-06-02
ソマリア,2023,78,2020-06-02
ベナン,243,3,2020-06-02
バハマ,102,11,2020-06-02
モンテネグロ,324,9,2020-06-02
バルバドス,92,7,2020-06-02
キルギス,1817,16,2020-06-02
ザンビア,1089,7,2020-06-02
ジブチ,3569,24,2020-06-02
ガンビア,25,1,2020-06-02
モーリシャス,335,10,2020-06-02
フィジー,18,0,2020-06-02
エルサルバドル,2582,46,2020-06-02
チャド,790,65,2020-06-02
ニカラグア,759,35,2020-06-02
モントセラト（英領）,11,1,2020-06-02
マダガスカル,826,6,2020-06-02
ハイチ,2226,41,2020-06-02
アンゴラ,86,4,2020-06-02
ニジェール,958,64,2020-06-02
パプアニューギニア,8,0,2020-06-02
ジンバブエ,203,4,2020-06-02
カーボベルデ,458,4,2020-06-02
エリトリア,39,0,2020-06-02
東ティモール,24,0,2020-06-02
マン島（英王室属領）,336,24,2020-06-02
ウガンダ,457,0,2020-06-02
ニューカレドニア,19,0,2020-06-02
シリア,123,5,2020-06-02
モザンビーク,254,2,2020-06-02
グレナダ,23,0,2020-06-02
ベリーズ,18,2,2020-06-02
バミューダ（英領）,140,9,2020-06-02
ミャンマー,228,6,2020-06-02
ドミニカ国,16,0,2020-06-02
ラオス,19,0,2020-06-02
タークス・カイコス諸島（英領）,12,1,2020-06-02
ギニアビサウ,1339,8,2020-06-02
マリ,1315,77,2020-06-02
セントクリストファー・ネービス,15,0,2020-06-02
リビア,168,5,2020-06-02
アンギラ（英領）,3,0,2020-06-02
バージン諸島（英領）,8,1,2020-06-02
シエラレオネ,865,46,2020-06-02
ブルンジ,63,1,2020-06-02
ボツワナ,38,1,2020-06-02
マラウイ,336,4,2020-06-02
ボネール、シント・ユースタティウス及びサバ,7,0,2020-06-02
フォークランド諸島（英領）,13,0,2020-06-02
西サハラ,9,1,2020-06-02
南スーダン共和国,994,10,2020-06-02
サントメ・プリンシペ,484,10,2020-06-02
イエメン共和国,354,81,2020-06-02
タジキスタン共和国,4013,47,2020-06-02
コモロ連合,106,2,2020-06-02
レソト王国,2,0,2020-06-02
ダイヤモンド・プリンセス,712,13,2020-06-02
その他,29,0,2020-06-02
中国,83021,4634,2020-06-03
香港,1094,4,2020-06-03
マカオ,45,0,2020-06-03
日本,16987,900,2020-06-03
韓国,11590,273,2020-06-03
台湾,443,7,2020-06-03
シンガポール,35836,24,2020-06-03
ネパール,2099,8,2020-06-03
タイ,3083,58,2020-06-03
ベトナム,328,0,2020-06-03
マレーシア,7877,115,2020-06-03
豪州,7228,103,2020-06-03
米国,1831730,106180,2020-06-03
カナダ,92399,7395,2020-06-03
フランス,151325,28940,2020-06-03
ドイツ,183879,8563,2020-06-03
カンボジア,125,0,2020-06-03
スリランカ,1683,11,2020-06-03
アラブ首長国連邦,35788,266,2020-06-03
フィンランド,6887,320,2020-06-03
フィリピン,18997,966,2020-06-03
インド,198706,5598,2020-06-03
イタリア,233515,33530,2020-06-03
英国,277985,39369,2020-06-03
ロシア,423186,5031,2020-06-03
スウェーデン,38589,4468,2020-06-03
スペイン,239932,27127,2020-06-03
ベルギー,58615,9505,2020-06-03
エジプト,27536,1005,2020-06-03
イラン,157562,7942,2020-06-03
イスラエル,17285,285,2020-06-03
レバノン,1242,27,2020-06-03
クウェート,28649,220,2020-06-03
バーレーン,12311,19,2020-06-03
オマーン,12799,50,2020-06-03
アフガニスタン,16509,270,2020-06-03
イラク,7387,215,2020-06-03
アルジェリア,9626,661,2020-06-03
オーストリア,16759,668,2020-06-03
スイス,30792,1656,2020-06-03
クロアチア,2246,103,2020-06-03
ブラジル,555383,31199,2020-06-03
ジョージア,796,12,2020-06-03
パキスタン,76398,1621,2020-06-03
北マケドニア,2391,140,2020-06-03
ギリシア,2937,175,2020-06-03
ノルウェー,8455,236,2020-06-03
ルーマニア,19517,1279,2020-06-03
デンマーク,11934,580,2020-06-03
エストニア,1870,68,2020-06-03
オランダ,46545,5962,2020-06-03
サンマリノ,672,42,2020-06-03
リトアニア,1682,70,2020-06-03
ナイジェリア,10819,299,2020-06-03
アイスランド,1806,10,2020-06-03
アゼルバイジャン,5935,68,2020-06-03
ベラルーシ,44255,240,2020-06-03
ニュージーランド,1504,22,2020-06-03
メキシコ,97326,10637,2020-06-03
カタール,60259,43,2020-06-03
ルクセンブルク,4020,110,2020-06-03
モナコ,99,1,2020-06-03
エクアドル,40414,3438,2020-06-03
アイルランド,25066,1650,2020-06-03
チェコ,9364,321,2020-06-03
アルメニア,10009,158,2020-06-03
ドミニカ共和国,17752,502,2020-06-03
インドネシア,27549,1641,2020-06-03
アンドラ,844,51,2020-06-03
ポルトガル,32895,1424,2020-06-03
ラトビア,1071,24,2020-06-03
セネガル,3836,42,2020-06-03
サウジアラビア,89011,549,2020-06-03
ヨルダン,755,9,2020-06-03
アルゼンチン,18319,541,2020-06-03
チリ,108686,1188,2020-06-03
ウクライナ,24895,727,2020-06-03
モロッコ,7866,205,2020-06-03
チュニジア,1086,48,2020-06-03
ハンガリー,3921,532,2020-06-03
リヒテンシュタイン,82,1,2020-06-03
ポーランド,24395,1074,2020-06-03
スロベニア,1475,108,2020-06-03
パレスチナ,451,5,2020-06-03
ボスニア・ヘルツェゴビナ,2535,153,2020-06-03
南アフリカ,35812,705,2020-06-03
ジブラルタル（英領）,170,0,2020-06-03
ブータン,47,0,2020-06-03
カメルーン,6585,199,2020-06-03
トーゴ,445,13,2020-06-03
セルビア,11454,244,2020-06-03
スロバキア,1522,28,2020-06-03
バチカン,12,0,2020-06-03
コロンビア,30593,939,2020-06-03
ペルー,170039,4634,2020-06-03
コスタリカ,1105,10,2020-06-03
マルタ,620,9,2020-06-03
パラグアイ,1013,11,2020-06-03
バングラデシュ,52445,709,2020-06-03
モルドバ,8548,307,2020-06-03
ブルガリア,2538,144,2020-06-03
モルディブ,1841,6,2020-06-03
ブルネイ,141,2,2020-06-03
キプロス,952,17,2020-06-03
アルバニア,1164,33,2020-06-03
ブルキナファソ,881,53,2020-06-03
モンゴル,185,0,2020-06-03
パナマ,13837,336,2020-06-03
ボリビア,10531,313,2020-06-03
ホンジュラス,5362,212,2020-06-03
コンゴ民主共和国,3326,71,2020-06-03
ジャマイカ,588,9,2020-06-03
トルコ,165555,4585,2020-06-03
コートジボワール,3024,33,2020-06-03
ガイアナ,153,12,2020-06-03
ガーンジー（英領）,252,13,2020-06-03
ジャージー（英領）,308,29,2020-06-03
ケイマン諸島（英領）,141,1,2020-06-03
キューバ,2092,83,2020-06-03
トリニダード・トバゴ,117,8,2020-06-03
スーダン,5173,298,2020-06-03
ギニア,3886,23,2020-06-03
エチオピア,1344,12,2020-06-03
ケニア,2093,69,2020-06-03
グアテマラ,5336,108,2020-06-03
ベネズエラ,1819,14,2020-06-03
ガボン,2803,17,2020-06-03
ガーナ,8297,36,2020-06-03
アンティグア・バーブーダ,26,3,2020-06-03
カザフスタン,11571,41,2020-06-03
ウルグアイ,826,22,2020-06-03
アルバ,101,3,2020-06-03
ナミビア,25,0,2020-06-03
セーシェル,11,0,2020-06-03
セントルシア,18,0,2020-06-03
ルワンダ,384,1,2020-06-03
エスワティニ,294,3,2020-06-03
キュラソー,20,1,2020-06-03
スリナム,54,1,2020-06-03
モーリタニア,668,23,2020-06-03
コソボ,1064,30,2020-06-03
コンゴ共和国,611,20,2020-06-03
セントビンセント及びクレナディーン諸島,26,0,2020-06-03
中央アフリカ,1069,4,2020-06-03
ウズベキスタン,3760,15,2020-06-03
赤道ギニア,1306,12,2020-06-03
リベリア,311,27,2020-06-03
タンザニア,509,21,2020-06-03
ソマリア,2089,79,2020-06-03
ベナン,244,3,2020-06-03
バハマ,102,11,2020-06-03
モンテネグロ,324,9,2020-06-03
バルバドス,92,7,2020-06-03
キルギス,1845,17,2020-06-03
ザンビア,1089,7,2020-06-03
ジブチ,3779,24,2020-06-03
ガンビア,25,1,2020-06-03
モーリシャス,335,10,2020-06-03
フィジー,18,0,2020-06-03
エルサルバドル,2653,46,2020-06-03
チャド,803,66,2020-06-03
ニカラグア,1118,35,2020-06-03
モントセラト（英領）,11,1,2020-06-03
マダガスカル,845,6,2020-06-03
ハイチ,2226,44,2020-06-03
アンゴラ,86,4,2020-06-03
ニジェール,960,64,2020-06-03
パプアニューギニア,8,0,2020-06-03
ジンバブエ,206,4,2020-06-03
カーボベルデ,466,4,2020-06-03
エリトリア,39,0,2020-06-03
東ティモール,24,0,2020-06-03
マン島（英王室属領）,336,24,2020-06-03
ウガンダ,489,0,2020-06-03
ニューカレドニア,19,0,2020-06-03
シリア,123,5,2020-06-03
モザンビーク,307,2,2020-06-03
グレナダ,23,0,2020-06-03
ベリーズ,18,2,2020-06-03
バミューダ（英領）,140,9,2020-06-03
ミャンマー,232,6,2020-06-03
ドミニカ国,18,0,2020-06-03
ラオス,19,0,2020-06-03
タークス・カイコス諸島（英領）,12,1,2020-06-03
ギニアビサウ,1339,8,2020-06-03
マリ,1351,78,2020-06-03
セントクリストファー・ネービス,15,0,2020-06-03
リビア,182,5,2020-06-03
アンギラ（英領）,3,0,2020-06-03
バージン諸島（英領）,8,1,2020-06-03
シエラレオネ,896,46,2020-06-03
ブルンジ,63,1,2020-06-03
ボツワナ,40,1,2020-06-03
マラウイ,358,4,2020-06-03
ボネール、シント・ユースタティウス及びサバ,7,0,2020-06-03
フォークランド諸島（英領）,13,0,2020-06-03
西サハラ,9,1,2020-06-03
南スーダン共和国,994,10,2020-06-03
サントメ・プリンシペ,484,10,2020-06-03
イエメン共和国,399,85,2020-06-03
タジキスタン共和国,4100,47,2020-06-03
コモロ連合,132,2,2020-06-03
レソト王国,2,0,2020-06-03
ダイヤモンド・プリンセス,712,13,2020-06-03
その他,29,0,2020-06-03
中国,83022,4634,2020-06-04
香港,1094,4,2020-06-04
マカオ,45,0,2020-06-04
日本,17018,903,2020-06-04
韓国,11629,273,2020-06-04
台湾,443,7,2020-06-04
シンガポール,36405,24,2020-06-04
ネパール,2300,8,2020-06-04
タイ,3084,58,2020-06-04
ベトナム,328,0,2020-06-04
マレーシア,7970,115,2020-06-04
豪州,7240,103,2020-06-04
米国,1851530,107148,2020-06-04
カナダ,93074,7498,2020-06-04
フランス,151677,29021,2020-06-04
ドイツ,184121,8602,2020-06-04
カンボジア,125,0,2020-06-04
スリランカ,1735,11,2020-06-04
アラブ首長国連邦,36359,269,2020-06-04
フィンランド,6911,320,2020-06-04
フィリピン,19748,974,2020-06-04
インド,207615,5815,2020-06-04
イタリア,233836,33601,2020-06-04
英国,279856,39728,2020-06-04
